,ProjectName,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments,UpstreamDependencies,DownstreamDependencies,Vindex
1,algebra,1518,13,3,10,2,4,8,2,76,0,10,22,6,4,1
2,cpal,1184,134,11,519,16,0,0,4,0,0,0,3,1,4,2
3,rust-amqp,1302,137,4,203,15,0,168,1,3,1,2,1,12,513,16
4,rust-ansi-term,1347,103,1,106,9,0,0,1069,0,7,0,1,2,120,10
5,anymap,1366,68,3,97,9,8,19,7,27,0,2,2,0,8,2
6,rust-ascii,1198,10,7,161,11,150,230,153,0,1,2,2,4,15,5
7,rust-bencode,1462,21,5,102,12,0,0,0,10,41,0,3,18,98,7
8,bincode,1269,262,28,415,72,0,0,0,0,0,0,3,1,95,6
9,bitflags,1149,56,12,139,34,0,0,0,1,1,1,2,2,369,21
10,body-parser,1362,48,11,100,19,0,0,63,3,0,1,3,1,15,3
11,capnp-rpc-rust,1285,8,1,2,1,0,4,50,43,0,1,5,2,1,0
12,cesu8-rs,1188,3,2,38,0,0,0,354,92,0,24,4,0,2,0
13,cfor,1310,3,3,79,2,0,0,197,0,0,2,2,1,2,0
14,cgmath,1656,140,2,60,15,0,72,185,0,1,0,1,1,60,6
15,chrono,1442,129,4,67,32,0,0,68,0,2,0,4,8,461,13
16,collect-rs,1228,71,18,426,47,2,32,6,3,0,0,5,4,7,4
17,compare,1099,8,6,38,8,16,0,19,0,1,1,2,1,14,3
18,rust-compress,1598,77,6,239,4,0,443,32,1,0,0,4,4,39,9
19,conduit,1353,100,7,348,0,0,0,50,0,0,2,7,17,42,4
20,conduit-json-parser,1348,3,6,309,0,0,0,26,0,0,2,3,6,1,0
21,conduit-cookie,1348,0,4,986,0,0,1,482,26,0,0,4,5,1,0
22,cookie-rs,1348,42,10,1049,32,0,4,9,3,0,0,4,6,985,26
23,cpal,1184,134,11,519,16,0,0,4,0,0,0,3,4,5,2
24,rust-cssparser,1703,110,17,824,24,0,0,187,64,0,0,3,10,13,4
25,rust-csv,1448,324,12,417,42,0,220,0,0,0,1,3,12,635,15
26,curl-rust,1369,157,6,402,50,0,0,1,1,0,0,2,3,5,3
27,curl-rust,1369,157,6,402,50,0,0,1,1,0,0,2,11,241,14
28,c_vec-rs,1156,8,2,51,4,59,385,462,1,0,0,3,1,10,5
29,dbus-rs,1202,91,7,289,59,0,0,0,3,1,1,3,0,1,0
30,docopt.rs,1367,472,18,333,81,0,0,0,0,0,0,1,26,698,19
31,docopt.rs,1367,472,18,333,81,0,0,0,0,0,0,1,2,13,0
32,rust-email,1245,23,6,165,8,0,10,189,7,1,1,5,18,31,3
33,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,7,162,12
34,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,1,2,1
35,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,1,1,1
36,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,1,1,1
37,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,1,1,1
38,rust-encoding,1684,147,14,300,23,0,0,0,0,0,0,2,1,1,1
